Bureau_Gouvernementaux;Description;Téléphone;Localisation
Pag-Ibig;Government Offices;tel:+63284223000;Government Office Basement Robinsons Place, Pedro Gil Street, City of Manila, Metro Manila 
Department Of Foreign Affairs;Government Offices;tel:+63284036093;Metro Gaisano Mall,  Alabang-Zapote Road, Muntinlupa City, Metro Manila 
Lto;Government Offices;tel:+632 8621091; Manila South Road,  Tunasan, Muntinlupa City, Metro Manila 
Philippine Drug Enforcement Agency (Pdea);Government Offices;tel:+63289279702;Pdea Building, Nia Northside Road, National Government Center, EDSA Brgy. Pinyahan, Diliman, Quezon City, Metro Manila 
National Electrification Administration;Electric Companies;tel:+63289291909;NEA Central Office, 57, Nia Road, Government Center, Diliman, Quezon City 1100 Metro Manila 
Barangay Bel-Air;Government Offices;tel:+63288954011;Hydra Street, Barangay Bel-air, Makati City 1209  Metro Manila 
Bureau Of Labor And Employment Statistics;Government Offices;tel:+63285275506;Main Branch - 3/F, Dole Building,  Intramuros, City of Manila, Metro Manila 
Pag-Ibig Fund;Government Offices;tel:+63287244244;Atrium Building,  Makati Avenue, Makati City, Metro Manila 
Trade And Investments Information Center And Public Relations Office;Government Offices;tel:+63288953611;Main Branch - 4/F, Industry And Investment Building, 385 Senator Gil Puyat Avenue, Makati City, Metro Manila 
Bureau Of Customs;Government Offices;tel:+63285271968;Main Branch - Gate 3 Port Area, South Harbor Adriana Street, Intramuros, City of Manila 1002 Metro Manila 
National Computer Center;Government Offices;tel:+63289200101;N C C Building,  Carlos Garcia Avenue, Diliman, Quezon City 1104 Metro Manila 
Bureau Of Corrections;Government Offices;tel:+63288099775;Main Branch - NBP Reservation, Muntinlupa City, Metro Manila 
Dot;Government Offices;tel:+63284595200;Main Branch - The New DOT Building, 351, Senator Gil Puyat Avenue, Makati City 1200 Metro Manila 
Pag-Ibig Fund;Loans;tel:+63287244244;Main Branch - Petron Mega Plaza, 358, Sen. Gil J. Puyat Avenue, Makati City 1200 Metro Manila 
Al-Amanah Islamic Investment Bank Of The Philippines;Government Owned and Controlled Corporation (GOCC);tel:+63288935036;4/F, DBP Building, Sen. Gil.  Puyat Avenue corner Makati Avenue, Makati City 1200 Metro Manila 
Central Bank-Board Of Liquidators;Government Offices;tel:+63285255991;509,  Vito Cruz Corner Mabini Streets, Bcs Complex, City of Manila, Metro Manila 
Ndc;Government Offices;tel:+63288132228;116, Tordesillas Street, Salcedo Village, Makati City 1227 Metro Manila 
Philippine Aerospace Development;Government Offices;tel:+63288536785;Hangar 2, Gen. Aviation Area, 1300, Domestic Road, Pasay City 1300 Metro Manila 
Philippine Genetics;Government Offices;tel:+63286373451;1405, West Tower, Psec Center,  Exchange Road, Ortigas, Pasig City, Metro Manila 
Pea;Government Offices;tel:+63288176918;7/F, Legaspi Towers 200,  Paseo De Roxas, Makati City, Metro Manila 
Sugar Regulatory Administration;Sugar;tel:+63333373876;Main Branch - Mapa, Iloilo City 5000 Iloilo 
Trade And Investment Development Corporation;Government Offices;tel:+63288934632;4/F, Citibank Tower, 8741 Paseo De Roxas, Makati City, Metro Manila 
Csc;Government Offices;tel:+63289317935;CSC Building, Constitutional Hills, Batasan Complex, Batasan Pambansa Complex, Quezon City 1126 Metro Manila 
Comelec;Government Offices;tel:+63285276111;Palacio Del Gobernador Building,  Postigo Street, City of Manila 1002 Metro Manila 
Coa;Government Offices;tel:+63289319232;COA Building, Commonwealth Avenue, Quezon City, Metro Manila 
Chr;Government Offices;tel:+63289287240;Saac Building, Commonwealth Avenue, UP Complex, Diliman, Quezon City 1104 Metro Manila 
Office Of The Ombudsman;Government Offices;tel:+63285280679;Old Mwss Building,  Arroceros Street, City of Manila, Metro Manila 
Philippine Judicial Academy;Judicial Offices;tel:+63285529518;Main Branch - 3/F, Centennial Building, Supreme Court Of The Philippi,  Taft Avenue, City of Manila, Metro Manila 
Ca;Government Offices;tel:+63285241241;Maria Orosa Street, Ermita, Quezon City 1102 Metro Manila 
Court Of Tax Appeals;Government Offices;tel:+63287124609;20 Quezon Avenue, Quezon City, Metro Manila 
